,precision,recall,f1-score,support,confused_with
ask_dementia_patient_eating_habits,1.0,1.0,1.0,20,{}
ask_dementia_patient_resistance_to_change,1.0,1.0,1.0,20,{}
ask_dementia_assistive_devices,1.0,1.0,1.0,20,{}
ask_dementia_patient_communication_issues,1.0,1.0,1.0,19,{}
ask_dementia_patient_reminiscence_therapy,1.0,1.0,1.0,19,{}
ask_dementia_patient_wandering_prevention,1.0,1.0,1.0,20,{}
ask_dementia_statistics,1.0,1.0,1.0,20,{}
ask_dementia_patient_personal_recognition_loss,0.9523809523809523,1.0,0.975609756097561,20,{}
ask_dementia_hospice_care,0.9523809523809523,1.0,0.975609756097561,20,{}
ask_dementia_transportation_challenges,1.0,1.0,1.0,20,{}
ask_dementia_patient_lack_of_awareness,1.0,1.0,1.0,19,{}
ask_dementia_patient_daily_routines,1.0,0.9,0.9473684210526316,20,{'ask_caregiver_setting_up_routines_for_dementia_patient': 2}
ask_caregiver_helping_dementia_patient_make_decisions,1.0,1.0,1.0,19,{}
ask_dementia_nursing_home_decision,1.0,1.0,1.0,20,{}
ask_dementia_patient_fidgeting,1.0,1.0,1.0,20,{}
ask_dementia_diagnosis_prevention,1.0,1.0,1.0,19,{}
ask_dementia_patient_aggression,0.9047619047619048,0.95,0.9268292682926829,20,{'ask_dementia_patient_aggression_management': 1}
ask_dementia_misconceptions,1.0,1.0,1.0,20,{}
ask_caregiver_how_to_handle_dementia_patient_refusing_medication,1.0,1.0,1.0,20,{}
ask_dementia_sundowning_management,0.9523809523809523,1.0,0.975609756097561,20,{}
ask_dementia_palliative_care,1.0,1.0,1.0,20,{}
ask_dementia_patient_hiding_objects,1.0,1.0,1.0,20,{}
ask_dementia_friendly_home_tips,1.0,1.0,1.0,20,{}
ask_dementia_patient_resisting_help,1.0,1.0,1.0,20,{}
ask_dementia_treatment_medical,1.0,1.0,1.0,19,{}
ask_dementia_patient_aggression_management,0.9473684210526315,0.9,0.9230769230769231,20,{'ask_dementia_patient_aggression': 2}
ask_dementia_early_signs,1.0,0.95,0.9743589743589743,20,{'ask_dementia_symptoms': 1}
ask_caregiver_sibling_disagreements,1.0,0.9714285714285714,0.9855072463768115,35,{'ask_caregiver_support_for_family_members': 1}
ask_caregiver_dementia_patient_denial,1.0,1.0,1.0,34,{}
